epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,102.554,1.78347,3.73639,1.1149,0.01721,0.37098,0.0691,0.02578,1.71697,3.76235,1.03582,0.00010003,0.00010003,0.00010003
2,184.584,1.51714,3.10216,1.00395,0.01729,0.32175,0.14126,0.04485,2.08396,3.80018,1.18757,0.000212228,0.000212228,0.000212228
