epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3265.09,1.18187,0.70153,0.93709,0.94124,0.85392,0.8968,0.54171,1.17034,0.62172,0.94045,0.000848969,0.000848969,0.000848969
43,3342.56,1.15128,0.64112,0.92662,0.89663,0.85955,0.89524,0.53093,1.23986,0.58686,0.94848,0.000834822,0.000834822,0.000834822
44,3420,1.1371,0.78234,0.91244,0.84763,0.86903,0.89631,0.54053,1.25243,0.58504,0.95771,0.000820675,0.000820675,0.000820675
45,3496.58,1.1163,0.60745,0.93406,0.84029,0.86556,0.89038,0.54278,1.23502,0.61518,0.95163,0.000806528,0.000806528,0.000806528
46,3573.55,1.10177,0.61138,0.90789,0.88085,0.86475,0.8958,0.51831,1.28187,0.59869,0.97463,0.00079238,0.00079238,0.00079238
47,3649.75,1.1467,0.62978,0.93099,0.89158,0.83893,0.89301,0.53204,1.26128,0.57785,0.96373,0.000778233,0.000778233,0.000778233
48,3727.04,1.16868,0.64044,0.92185,0.87985,0.86523,0.88444,0.53882,1.24279,0.58696,0.95379,0.000764086,0.000764086,0.000764086
49,3803.88,1.12965,0.61173,0.92233,0.97614,0.79612,0.90311,0.53946,1.24911,0.58422,0.95387,0.000749939,0.000749939,0.000749939
50,3880.99,1.13751,0.62204,0.91977,0.95258,0.8267,0.91165,0.51688,1.26155,0.58867,0.96113,0.000735792,0.000735792,0.000735792
51,3958.36,1.11241,0.61164,0.92524,0.94272,0.83066,0.91231,0.53047,1.2188,0.57255,0.94981,0.000721645,0.000721645,0.000721645
52,4035.79,1.10494,0.60318,0.91523,0.85561,0.89084,0.91415,0.52098,1.26504,0.60633,0.96507,0.000707498,0.000707498,0.000707498
53,4112.87,1.11574,0.60236,0.91757,0.88039,0.87557,0.9113,0.55563,1.21216,0.57932,0.94856,0.000693351,0.000693351,0.000693351
54,4190.09,1.07508,0.59574,0.90339,0.91581,0.87375,0.91723,0.55598,1.28229,0.58739,0.96351,0.000679204,0.000679204,0.000679204
55,4268.03,1.09989,0.57905,0.90107,0.92272,0.86803,0.91987,0.55172,1.27302,0.57057,0.96411,0.000665057,0.000665057,0.000665057
56,4345.76,1.08179,0.58071,0.90211,0.95387,0.84904,0.92015,0.56302,1.22691,0.55495,0.94912,0.000650909,0.000650909,0.000650909
57,4423.19,1.08445,0.57701,0.90063,0.95267,0.84045,0.92346,0.54232,1.25311,0.5666,0.96081,0.000636762,0.000636762,0.000636762
58,4499.96,1.08139,0.57217,0.89619,0.95495,0.85871,0.92513,0.5483,1.26423,0.55951,0.97212,0.000622615,0.000622615,0.000622615
59,4577.76,1.14389,0.59132,0.94125,0.94949,0.85608,0.92227,0.53836,1.23526,0.55413,0.95359,0.000608468,0.000608468,0.000608468
60,4655.02,1.09221,0.5989,0.90528,0.9813,0.86426,0.93641,0.53659,1.28696,0.56098,0.96211,0.000594321,0.000594321,0.000594321
61,4732.33,1.09443,0.58699,0.9146,0.91872,0.88512,0.91877,0.54858,1.21908,0.5529,0.9421,0.000580174,0.000580174,0.000580174
62,4810.21,1.09524,0.58726,0.9086,0.974,0.8784,0.93599,0.56398,1.19819,0.55489,0.93672,0.000566027,0.000566027,0.000566027
63,4888.04,1.09813,0.59598,0.90343,0.97315,0.85607,0.92081,0.53488,1.30706,0.56733,0.96862,0.00055188,0.00055188,0.00055188
64,4965.03,1.1562,0.6046,0.94096,0.96635,0.8722,0.92011,0.54266,1.20754,0.55357,0.95054,0.000537733,0.000537733,0.000537733
65,5042.46,1.1039,0.57214,0.9097,0.95428,0.87564,0.92082,0.55062,1.23344,0.56467,0.95162,0.000523586,0.000523586,0.000523586
66,5119.58,1.11465,0.57632,0.90825,0.97443,0.8751,0.92253,0.53661,1.21486,0.54774,0.9537,0.000509438,0.000509438,0.000509438
67,5197.04,1.06964,0.55942,0.89231,0.97536,0.87524,0.92404,0.53565,1.23493,0.54993,0.95301,0.000495291,0.000495291,0.000495291
68,5274.15,1.05064,0.56055,0.89693,0.95651,0.87279,0.92417,0.53363,1.21087,0.53156,0.95428,0.000481144,0.000481144,0.000481144
69,5351.39,1.06628,0.55479,0.91346,0.96862,0.87847,0.9329,0.54823,1.15633,0.53584,0.94082,0.000466997,0.000466997,0.000466997
70,5428.45,1.1086,0.55957,0.91073,0.97537,0.89197,0.93605,0.5414,1.17113,0.55577,0.93729,0.00045285,0.00045285,0.00045285
71,5505.65,1.08289,0.56878,0.91157,0.98746,0.88786,0.93527,0.53939,1.18961,0.57373,0.94318,0.000438703,0.000438703,0.000438703
72,5583.63,1.07281,0.56123,0.9016,0.98539,0.87754,0.93154,0.54333,1.193,0.55102,0.94159,0.000424556,0.000424556,0.000424556
73,5660.24,1.04895,0.5583,0.89374,0.98456,0.87788,0.93359,0.53374,1.219,0.5257,0.94522,0.000410409,0.000410409,0.000410409
74,5737.8,1.04172,0.54751,0.8897,0.93699,0.85559,0.89745,0.52869,1.19724,0.5365,0.94324,0.000396262,0.000396262,0.000396262
75,5816.17,1.10495,0.56344,0.90652,0.94048,0.86773,0.91856,0.54125,1.18088,0.52023,0.93933,0.000382115,0.000382115,0.000382115
76,5893.25,1.05135,0.54041,0.89305,0.96825,0.86961,0.92202,0.52845,1.21856,0.53133,0.95398,0.000367967,0.000367967,0.000367967
77,5970.25,1.04284,0.54674,0.88789,0.97915,0.87487,0.92332,0.5419,1.20252,0.53357,0.94531,0.00035382,0.00035382,0.00035382
78,6046.69,1.03917,0.54764,0.90571,0.96869,0.8743,0.92211,0.54351,1.20331,0.53198,0.93994,0.000339673,0.000339673,0.000339673
79,6124.23,1.03743,0.55041,0.88886,0.95586,0.86996,0.92181,0.52608,1.22183,0.52643,0.94687,0.000325526,0.000325526,0.000325526
80,6200.46,1.02603,0.53903,0.89738,0.93771,0.85894,0.90807,0.5304,1.22087,0.52742,0.95347,0.000311379,0.000311379,0.000311379
81,6277.1,1.02636,0.53516,0.88953,0.94726,0.85899,0.91305,0.55599,1.20362,0.52255,0.94633,0.000297232,0.000297232,0.000297232
82,6354.15,1.01832,0.51619,0.88892,0.96008,0.85686,0.91503,0.54974,1.23336,0.53012,0.95144,0.000283085,0.000283085,0.000283085
83,6431.63,1.00387,0.53589,0.89117,0.98119,0.86598,0.91292,0.55082,1.2017,0.51194,0.94661,0.000268938,0.000268938,0.000268938
84,6508.55,1.04746,0.53799,0.89813,0.98723,0.86379,0.9092,0.55731,1.19974,0.51534,0.95119,0.000254791,0.000254791,0.000254791
85,6585.86,1.02396,0.52264,0.88342,0.95343,0.83818,0.89292,0.54289,1.26836,0.5305,0.96237,0.000240644,0.000240644,0.000240644
86,6662.84,0.99861,0.51989,0.894,0.93481,0.85639,0.89506,0.5328,1.30293,0.54439,0.96683,0.000226497,0.000226497,0.000226497
87,6741.75,1.00075,0.52298,0.8807,0.96764,0.83824,0.89559,0.56256,1.24939,0.53716,0.95152,0.000212349,0.000212349,0.000212349
88,6818.3,0.98799,0.53591,0.88913,0.94545,0.84979,0.895,0.56158,1.22061,0.52384,0.94417,0.000198202,0.000198202,0.000198202
89,6895.88,1.01488,0.52159,0.89102,0.94584,0.85741,0.90453,0.54264,1.26512,0.52559,0.95736,0.000184055,0.000184055,0.000184055
90,6972.7,1.00924,0.51989,0.88752,0.94494,0.84048,0.89359,0.53185,1.26719,0.52615,0.95547,0.000169908,0.000169908,0.000169908
91,7046.51,0.99715,0.60345,0.90999,0.95817,0.8495,0.91012,0.54811,1.21994,0.5223,0.93925,0.000155761,0.000155761,0.000155761
92,7120.51,1.00223,0.58915,0.89655,0.93544,0.85779,0.90559,0.55652,1.20041,0.52139,0.93257,0.000141614,0.000141614,0.000141614
93,7194.33,0.99991,0.55735,0.89401,0.92651,0.84588,0.89953,0.53429,1.2406,0.53439,0.94822,0.000127467,0.000127467,0.000127467
94,7267.85,1.00203,0.54275,0.9141,0.94896,0.85951,0.91611,0.53572,1.22776,0.52616,0.9466,0.00011332,0.00011332,0.00011332
95,7342.25,0.98952,0.53994,0.88221,0.93541,0.8816,0.92056,0.54867,1.20634,0.51991,0.93295,9.91726e-05,9.91726e-05,9.91726e-05
96,7415.46,1.0023,0.53332,0.90706,0.94167,0.86969,0.9186,0.55783,1.20476,0.52616,0.93025,8.50255e-05,8.50255e-05,8.50255e-05
97,7489.31,0.98046,0.52873,0.88938,0.91579,0.87142,0.90665,0.55003,1.21682,0.52676,0.93273,7.08784e-05,7.08784e-05,7.08784e-05
98,7563.44,0.95495,0.51599,0.90365,0.95237,0.85764,0.90677,0.54457,1.22915,0.52989,0.93616,5.67313e-05,5.67313e-05,5.67313e-05
99,7637.02,0.94837,0.51306,0.88248,0.94739,0.85686,0.89527,0.54491,1.2204,0.52431,0.93422,4.25842e-05,4.25842e-05,4.25842e-05
